Region,Driver,Coefficient,P-value
IX - Zamboanga Peninsula,const,1255067.874106472,6.186689419315311e-08
IX - Zamboanga Peninsula,Agriculture,-0.0811934361938288,0.6269649236321608
IX - Zamboanga Peninsula,Logging,0.0825135807627959,0.47163556383774374
IX - Zamboanga Peninsula,Urbanization,-6992.007351250421,0.13387061768329592
IX - Zamboanga Peninsula,Roads_km,-2.8855356042896556,0.7546312520781575
X - Northern Mindanao,const,1250983.308960924,4.567297497252626e-12
X - Northern Mindanao,Agriculture,-0.11590684204921084,0.11150010990800667
X - Northern Mindanao,Logging,-0.09912598649407499,0.004837010791529629
X - Northern Mindanao,Urbanization,-1019.9379726154025,0.2657725659070388
X - Northern Mindanao,Roads_km,-2.685472393540061,0.3791285695474609
XI - Davao Region,const,1395550.6987291293,6.237269682927602e-10
XI - Davao Region,Agriculture,-0.12988723573132105,0.22783085798908811
XI - Davao Region,Logging,0.18864520220116843,0.0034847721540105414
XI - Davao Region,Urbanization,-1796.6366090918752,0.08362646091892242
XI - Davao Region,Roads_km,-7.126404013929371,0.13965445086228626
XII - SOCCSKSARGEN,const,755553.4468015669,5.757233924710818e-13
XII - SOCCSKSARGEN,Agriculture,0.012034809546862825,0.6057008019012428
XII - SOCCSKSARGEN,Logging,0.2851069148815211,0.012290297802816433
XII - SOCCSKSARGEN,Urbanization,-2388.284112078827,0.0001223934154405047
XII - SOCCSKSARGEN,Roads_km,0.34493696088438,0.8433569998401078
XIII - Caraga Region,const,1387802.8280444206,6.770150279398949e-06
XIII - Caraga Region,Agriculture,0.596032716036573,0.07353503027960258
XIII - Caraga Region,Logging,-0.010597395128464594,0.639729588718805
XIII - Caraga Region,Urbanization,-15574.181472901048,5.25102405376113e-05
XIII - Caraga Region,Roads_km,16.063398339918542,0.10240921728472031
BARMM,const,1136746.5385164155,1.7370355255207996e-21
BARMM,Agriculture,-0.12435302788952055,7.358289496599387e-05
BARMM,Logging,1.2030372433847565,0.18830704229458556
BARMM,Urbanization,-630.1267054494859,0.003590944446041952
BARMM,Roads_km,-7.888542174195571,1.1782629871930087e-10
