Year,Region,harvested_area_ha
2015,XI - Davao Region,253618
2016,XI - Davao Region,252373
2017,XI - Davao Region,266767
2018,XI - Davao Region,279474
2019,XI - Davao Region,268185
2020,XI - Davao Region,272237.09
2000,XII - SOCCSKSARGEN,794200
2001,XII - SOCCSKSARGEN,760036
2002,XII - SOCCSKSARGEN,748011
2003,XII - SOCCSKSARGEN,727569
2004,XII - SOCCSKSARGEN,743121
2005,XII - SOCCSKSARGEN,709208
2006,XII - SOCCSKSARGEN,738917
2007,XII - SOCCSKSARGEN,746935
2008,XII - SOCCSKSARGEN,776624
2009,XII - SOCCSKSARGEN,779850
2010,XII - SOCCSKSARGEN,735461
2011,XII - SOCCSKSARGEN,770670
2012,XII - SOCCSKSARGEN,775304
2013,XII - SOCCSKSARGEN,780353
2014,XII - SOCCSKSARGEN,775462
2015,XII - SOCCSKSARGEN,756338
2016,XII - SOCCSKSARGEN,698956
2017,XII - SOCCSKSARGEN,764826
2018,XII - SOCCSKSARGEN,754645.25
2019,XII - SOCCSKSARGEN,720979.77
2020,XII - SOCCSKSARGEN,723256.29
2000,XIII - Caraga Region,166998
2001,XIII - Caraga Region,168437
2002,XIII - Caraga Region,169391
2003,XIII - Caraga Region,163760
2004,XIII - Caraga Region,172403
2005,XIII - Caraga Region,172531
2006,XIII - Caraga Region,170927
2007,XIII - Caraga Region,190958
2008,XIII - Caraga Region,188729
2009,XIII - Caraga Region,176693
2010,XIII - Caraga Region,170468
2011,XIII - Caraga Region,173406
2012,XIII - Caraga Region,188871
2013,XIII - Caraga Region,214576
2014,XIII - Caraga Region,216127
2015,XIII - Caraga Region,197525.95
2016,XIII - Caraga Region,194781
2017,XIII - Caraga Region,189237
2018,XIII - Caraga Region,196981
2019,XIII - Caraga Region,183183.95
2020,XIII - Caraga Region,200623.05
2000,BARMM,479336
2001,BARMM,494927
2002,BARMM,454387
2003,BARMM,453128
2004,BARMM,476122
2005,BARMM,465063
2006,BARMM,474052
2007,BARMM,511523
2008,BARMM,496426
2009,BARMM,536825
2010,BARMM,519961
2011,BARMM,483652
2012,BARMM,501613
2013,BARMM,502664
2014,BARMM,495012
2015,BARMM,476644
2016,BARMM,474084
2017,BARMM,521194
2018,BARMM,536832
2019,BARMM,543409.31
2020,BARMM,599206.35
